quote_id,tag
1,change
1,deep-thoughts
1,thinking
1,world
2,abilities
2,choices
3,inspirational
3,life
3,live
3,miracle
3,miracles
4,aliteracy
4,books
4,classic
4,humor
5,be-yourself
5,inspirational
6,adulthood
6,success
6,value
7,life
7,love
8,edison
8,failure
8,inspirational
8,paraphrased
9,misattributed-eleanor-roosevelt
10,humor
10,obvious
10,simile
11,friends
11,heartbreak
11,inspirational
11,life
11,love
11,sisters
12,courage
12,friends
13,simplicity
13,understand
14,love
15,fantasy
16,life
16,navigation
17,activism
17,apathy
17,hate
17,indifference
17,inspirational
17,love
17,opposite
17,philosophy
18,friendship
18,lack-of-friendship
18,lack-of-love
18,love
18,marriage
18,unhappy-marriage
19,books
19,contentment
19,friends
19,friendship
19,life
20,fate
20,life
20,misattributed-john-lennon
20,planning
20,plans
21,love
21,poetry
22,happiness
23,attributed-no-source
24,humor
24,religion
25,humor
26,comedy
26,life
26,yourself
27,children
27,fairy-tales
28,[]
29,imagination
30,music
31,learning
31,reading
31,seuss
32,dumbledore
33,friendship
34,misattributed-to-mother-teresa
34,paraphrased
35,death
35,inspirational
36,chocolate
36,food
36,humor
37,misattributed-to-c-s-lewis
37,reading
38,knowledge
38,learning
38,understanding
38,wisdom
39,books
39,library
40,inspirational
41,read
41,readers
41,reading
41,reading-books
42,books
42,inspirational
42,reading
42,tea
43,[]
44,girls
44,love
45,life
45,simile
46,love
47,attributed-no-source
48,hope
48,inspirational
49,dumbledore
50,love
51,friendship
51,love
52,attributed
52,fear
52,inspiration
53,attributed-no-source
54,music
55,books
55,thought
56,misattributed-to-einstein
57,drug
57,romance
57,simile
58,books
58,friends
58,novelist-quotes
59,inspirational
60,inspirational
60,life
60,yourself
61,alcohol
62,the-hunger-games
63,humor
64,love
65,bilbo
65,journey
65,lost
65,quest
65,travel
65,wander
66,live-death-love
67,good
67,writing
68,life
68,regrets
69,education
70,troubles
71,friendship
71,love
72,humor
73,humor
73,open-mind
73,thinking
74,humor
74,philosophy
75,authors
75,books
75,literature
75,reading
75,writing
76,humor
76,insanity
76,lies
76,lying
76,self-indulgence
76,truth
77,beatles
77,connection
77,dreamers
77,dreaming
77,dreams
77,hope
77,inspirational
77,peace
78,humor
78,sinister
79,[]
80,books
80,classic
80,reading
81,mistakes
82,humor
82,love
82,romantic
82,women
83,integrity
84,books
84,library
84,reading
85,elizabeth-bennet
85,jane-austen
86,age
86,fairytales
86,growing-up
87,god
88,death
88,life
89,misattributed-mark-twain
89,truth
90,christianity
90,faith
90,religion
90,sun
91,truth
92,death
92,life
93,adventure
93,love
94,courage
95,life
96,better-life-empathy
97,books
97,children
97,difficult
97,grown-ups
97,write
97,writers
97,writing
98,truth
99,inspirational
100,books
100,mind
